"","year","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"1","1960",FALSE,0.466,0.389,5,-12.825,1,0.0253,0.631,0.843,0.295,0.745,92.631,144893,4
"2","1960",FALSE,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,3
"3","1960",FALSE,0.758,0.462,5,-8.952,0,0.0482,0.79,1.25e-05,0.17,0.726,120.004,160027,4
"4","1960",FALSE,0.583,0.168,0,-12.426,1,0.035,0.869,0,0.148,0.353,97.572,157080,4
"5","1960",FALSE,0.567,0.141,10,-14.803,1,0.0315,0.925,0.00465,0.117,0.315,103.078,160067,3
"6","1960",FALSE,0.635,0.391,4,-14.14,1,0.0367,0.511,0.00247,0.493,0.713,126.267,195733,4
"7","1960",FALSE,0.534,0.72,10,-7.679,1,0.0395,0.649,0,0.258,0.901,74.207,120973,4
"8","1960",FALSE,0.664,0.539,7,-11.781,1,0.0408,0.811,0.000691,0.156,0.946,132.212,139293,4
"9","1960",FALSE,0.524,0.713,4,-12.848,1,0.0314,0.0188,0.0058,0.0402,0.975,155.033,158560,4
"10","1960",FALSE,0.587,0.72,1,-5.214,1,0.0303,0.792,1.54e-05,0.255,0.806,84.272,160093,4
"11","1960",FALSE,0.629,0.679,7,-7.908,1,0.0318,0.395,3.09e-05,0.0947,0.886,151.657,136947,4
"12","1960",FALSE,0.485,0.182,11,-18.083,0,0.0434,0.852,0,0.112,0.347,110.608,183360,1
"13","1960",FALSE,0.503,0.194,4,-12.741,1,0.0287,0.83,4.08e-06,0.0938,0.513,76.421,166972,4
"14","1960",FALSE,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.697,106.662,259307,3
"15","1960",FALSE,0.647,0.454,7,-9.954,1,0.0545,0.849,0,0.212,0.885,64.56,160800,4
"16","1960",FALSE,0.49,0.528,6,-6.758,1,0.0373,0.776,0,0.32,0.696,109.439,153933,4
"17","1960",FALSE,0.805,0.363,5,-13.409,1,0.0578,0.752,0.000371,0.109,0.962,126.382,142933,4
"18","1960",FALSE,0.795,0.4,2,-13.01,1,0.0749,0.682,0,0.0326,0.968,122.174,144493,4
"19","1960",FALSE,0.584,0.519,5,-10.767,1,0.0283,0.41,0.00475,0.21,0.933,123.25,146200,4
"20","1960",FALSE,0.454,0.271,8,-11.658,1,0.0283,0.797,0,0.126,0.401,110.89,157800,3
"21","1960",FALSE,0.339,0.406,10,-8.955,1,0.0319,0.865,1.1e-05,0.11,0.629,109.783,118133,3
"22","1960",FALSE,0.346,0.348,7,-13.336,1,0.0308,0.297,0.000575,0.334,0.631,101.527,168200,3
"23","1960",FALSE,0.443,0.415,5,-8.543,1,0.0268,0.795,0,0.113,0.601,94.835,155240,4
